Time,Reading1,Reading2
92249066,495,460
92249602,493,460
92250138,495,460
92250675,496,460
92251210,494,460
92251747,495,460
92252282,494,460
92252819,494,460
92253356,496,460
92253891,495,460
92254428,495,460
92254963,495,460
92255503,495,460
92256039,494,460
92256575,495,461
92257112,495,460
92257648,494,460
92258184,495,461
92258720,494,460
92259256,495,460
92259792,495,460
92260329,495,460
92260865,495,460
92261401,494,460
92261937,494,460
92262473,493,460
92263010,494,460
92263545,495,460
92264082,493,461
92264617,495,460
92265154,495,460
92265691,495,460
92266226,496,460
92266763,495,460
92267298,494,460
92267835,494,460
92268371,494,459
92268907,495,460
92269447,494,460
92269982,495,460
92270519,494,460
92271055,495,460
92271591,494,460
92272128,494,461
92272663,495,460
92273200,494,460
92273736,494,460
92274272,493,461
92274808,495,460
92275345,495,460
92275880,493,460
92276417,495,460
92276954,494,460
92277489,495,460
92278026,494,460
92278561,494,460
92279098,494,460
92279634,495,460
92280170,494,460
92280707,495,460
92281242,494,460
92281779,495,460
92282315,495,460
92282854,494,460
92283390,494,460
92283927,494,460
92284492,495,460
92285028,493,460
92285564,495,460
92286101,495,460
92286637,493,460
92287173,494,460
92287710,494,460
92288245,494,460
92288782,494,460
92289318,494,461
92289854,495,460
92290391,495,460
92290927,495,460
92291463,495,460
92291999,494,460
92292536,493,460
92293071,494,460
92293608,495,460
92294145,495,460
92294680,494,460
92295217,495,460
92295753,494,460
92296289,495,460
92296828,493,460
92297365,494,460
92297901,494,460
92298437,494,460
92298974,495,460
92299510,496,460
92300046,494,460
92300582,495,460
92301119,495,460
92301655,494,460
92302191,495,460
92302728,494,460
92303264,495,460
92303800,495,460
92304336,495,460
92304873,494,460
92305409,493,461
92305945,495,460
92306482,495,460
92307018,494,461
92307554,493,460
92308090,494,460
92308627,495,460
92309163,494,461
92309699,494,460
92310236,495,460
92310774,495,460
92311311,495,460
92311847,495,460
92312384,494,460
92312920,494,460
92313456,494,461
92313993,495,460
92314529,494,460
92315065,494,460
92315601,494,460
92316138,494,461
92316675,493,461
92317210,495,460
92317747,494,460
92318283,495,460
92318819,495,460
92319355,494,460
92319892,494,460
92320429,494,460
92320964,495,460
92321501,496,460
92322037,494,460
92322574,494,460
92323109,494,460
92323646,494,460
92324186,495,460
92324721,496,460
92325258,494,460
92325794,494,460
92326331,495,460
92326867,493,460
92327403,495,460
92327940,495,460
92328476,494,460
92329013,495,460
92329548,495,460
92330085,495,460
92330621,494,460
92331158,493,460
92331695,494,460
92332230,494,460
92332767,494,460
92333303,495,460
92333840,494,460
92334375,493,460
92334912,493,460
92335449,495,460
92335985,494,460
92336522,495,460
92337057,495,460
92337594,494,461
92338134,493,460
92338670,494,460
92339206,494,460
92339742,493,460
92340279,495,460
92340815,494,461
92341351,495,460
92341888,494,460
92342424,495,460
92342961,494,460
92343497,494,460
92344033,493,460
92344569,495,460
92345106,495,460
92345643,494,460
92346179,494,461
92346715,496,460
92347251,495,460
92347788,493,460
92348324,496,460
92348861,495,461
92349396,495,460
92349933,495,460
92350470,494,460
92351006,495,460
92351546,494,461
92352081,494,461
92352618,495,460
92353155,495,461
92353691,495,460
92354228,495,460
92354764,494,460
92355300,494,460
92355836,495,460
92356373,495,460
92356910,494,460
92357446,495,460
92357982,495,460
92358518,494,461
92359055,494,460
92359591,495,460
92360128,496,460
92360665,494,460
92361200,494,461
92361737,494,461
92362273,494,461
92362810,494,461
92363346,493,460
92363883,495,460
92364419,495,460
92364955,495,460
92365495,494,460
92366031,494,461
92366568,494,460
92367104,494,460
92367640,496,460
92368177,496,460
92368713,494,460
92369250,494,459
92369786,494,461
92370323,495,460
92370859,494,460
92371395,494,460
92371932,494,460
92372468,494,460
92373005,494,460
92373541,495,460
92374078,495,460
92374614,495,460
92375150,495,461
92375687,495,460
92376223,495,460
92376760,495,460
92377296,495,460
92377833,496,460
92378369,495,461
92378905,495,460
92379445,494,461
92379981,495,460
92380518,494,460
92381054,496,460
92381591,495,460
92382127,495,460
92382663,495,460
92383200,495,460
92383736,495,460
92384273,495,460
92384809,495,460
92385346,495,460
92385883,494,460
92386418,495,460
92386955,495,461
92387491,496,461
92388028,496,460
92388564,495,460
92389101,494,460
92389638,495,460
92390174,496,460
92390710,494,460
92391246,495,459
92391783,494,460
92392320,494,460
92392859,494,460
92393396,495,461
92393932,494,460
92394469,494,460
92395004,494,460
92395541,494,460
92396078,495,460
92396614,495,460
92397151,494,460
92397687,495,460
92398224,495,460
92398760,495,460
92399297,494,460
92399833,495,460
